region;country;comment
New London CT;USA;
Baltimore MD;USA;
Annapolis MD;USA;
Litchfield CT;USA;
Bennington VT;USA;
Savannah GA;USA;
Windsor VT;USA;
Rutland VT;USA;
Portland ME;USA;
Middletown CT;USA;
New Haven CT;USA;
Westminster VT;USA;
Fredericktown MD;USA;
Falmouth ME;USA;
Suffield CT;USA;
Hallowell ME;USA;
Fairhaven VT;USA;
West Springfield MA;USA;
Hagerstown MD;USA;
Wiscasset ME;USA;
Vergennes VT;USA;
Stonington CT;USA;
Frederick MD;USA;
New Milford CT;USA;
Newington CT;USA;
New Bruncwick NJ;USA;
Easton MD;USA;
Mifflintown PA;USA;
Elizabethtown MD;USA;
Chestertown MD;USA;
Brunswick MA;USA;
Aabenraa;Denmark;
Aachen;Germany;
Aalborg;Denmark;
Aarhus;Denmark;
Abartawe;England;
Abbeville;France;
Aberdaugleddau;England;
Aberdeen;Scotland;
Aberhonddu;England;
Abermaw;England;
Aberystwyth;England;
Abingdon;England;
Adpar;England;
Agnifitiae;Sweden;
Aix-en-Provence;France;
Akureyri;Iceland;
Alatornio;Finland;
Albany NY;USA;
Alcester;England;
Aldermanbury;England;
Aldershot;England;
Alexandria VA;USA;
Alfend;NA;
Alferton;England;
Alfreton;England;
Almena WI;USA;
Alnwick;England;
Alston;England;
Altdorf;Germany;
Altenburg;Germany;
Altenstein;Germany;
Altmore;Northern Ireland;
Altona;Germany;
Ambleside;England;
America;USA;
Amersfoort;Netherlands;
Amherst NH;USA;
Ampthill;England;
Amsterdam;Netherlands;
Amwythig ;England;
Amwythig;England;
Ancova;Latvia;
Andover MA;USA;
Andover MA;USA;
Annapolis MD;USA;
Anttola;Finland;
Antwerp;Belgium;
Antwerpen;Belgium;
Appelby-in-Westmorland;England;
Archangelsk;Russia;
Arezzo;Italy;
Armagh;Northern Ireland;
Arnhem;Netherlands;
Arnstadt;Germany;
Ashburton;England;
Ashby-de-la-Zouch;England;
Ashby;England;
Ashford;England;
Ashtabula OH;USA;
Askersund;Sweden;
Astoria OR;USA;
Atherstone;England;
Athlone;Ireland;
Augsburg;Germany;
Augusta GA;USA;
Augusta ME;USA;
Augusta ME;USA;
Avignon;France;
Avranches;France;
Axminster;England;
Aylesbury;England;
Ayr;Scotland;
Bagdad;Iraq;
Bakewell;England;
Bala;England;
Balfron;Scotland;
Ballston Spa NY;USA;
Ballymena;England;
Baltimore MD;USA;
Baltonsborough;England;
Bampton;England;
Banbury;England;
Banff;Canada;
Bannockburn;Scotland;
Barby;England;
Barcelona;Spain;
Barkhamsted CT;USA;
Barnard Castle;England;
Barnsley;England;
Barnstaple;England;
Barton-upon-Humber;England;
Basel;Switzerland;
Basingstoke;England;
Basseterre ;Saint Kitts and Nevis;
Basseterre;Saint Kitts and Nevis;
Basseterre Saint Kitts;Saint Kitts and Nevis;
Bassetterre;Saint Kitts and Nevis;
Bastia (Corsica);France;
Bath;England;
Bath NY;USA;
Bawtry;England;
Bayreuth;Germany;
Beaminster;England;
Beauvais;France;
Bedale;England;
Bedford;England;
Belfast;Ireland;
Belfast;Northern Ireland;
Beloeil;Canada;
Bennington VT;USA;
Bergen;Norway;
Berkhamsted;England;
Berliini;Germany;
Berlin;Germany;
Bern;Switzerland;
Berwich-upon-Tweed;Scotland;
Berwick-upon-Tweed;Scotland;
Besancon;France;
Bethania N.c;USA;
Bethlehem PA;USA;
Beverley;England;
Bewdley;England;
Bideford;England;
Bielefeld;Germany;
Billnäs;Finland;
Birmingham;England;
Birr;Ireland;
Birstall;England;
Bishop's Castle;England;
Bishopstone;England;
Björkboda;Finland;
Blackburn;England;
Blackwell;England;
Blandford Forum;England;
Blandford VA;USA;
Bocking;England;
Bodedern ;England;
Boden;Germany;
Bologna;Italy;
