synonyme;name
leavse;leaves
^folding$;plates
platess;plates
leafs;leaves
pate;plate
pleave;leave
plates plates;plates
plats;plates
leaf; leaf
fold\.;folded
folding;folded
leaves folded;leaf
doubld;double
leaves\.;leaves
bl\.;leaves 
one folded;
some folded;
many folded;
most folded;
or double leaved;
or leaved;
p\.plates;p., plates
\)plates :;),plates
plates :;plates 
plate :;plate
p\.table;p., table
p\., of plates;plates
tables :;tables 
table :;table 
 1 l\.;leaf
\[1\] l\.;leaf
\,l\.;,leaves
 l\.;leaves
blank leaves;leaves
blank leaf;leaf
the last [0-9] p. blank;
versos blank;
woodcut;
leaves of plates \(maps\);leaf
leave of plates; leaves
leaf plates;leaf
leaf of plates;leaf
leaf of plate;leaf
leaves of plates;leaves
leaves of plate;leaves
leaves \([0-9] folded\);leaves
1 leaf;1 sheet
[0-9]+ folded;
some col\.;
col.;
front\.;
[0-9] fold;
some fold;
fol\.;
\[[0-9]\] folded;
[0-9] folded;
foldedplate;plate
foldplate;plate
1sheet;1 sheet
\[1\] sheet;1 sheet
1/[0-9] sheet;1 sheet
1 sheet \(.{0,}\)$;1 sheet
genealogical;
foldedtables;tables
table;plate
[0-9] double;
doubled;
double;
single;I
of ill\.;
broadside \([1] p\.\);broadside
broadsheet;broadside
broadside;sheet
^quarto$;1 sheet
^broadside$;1 sheet
^folios$;1 sheet
^folio$;1 sheet
^sheet$;1 sheet
^1to$;1 sheet
^\(fol.\)$;1 sheet
\(map;map
map\);map
maps\);map
map8⁰;map
map; 1p
\[1 blank\];[1]
folded;
ff\.;ff.,
\(\);

