name	gender
aabel	male
aabraham	male
aabram	male
aada	female
aada-emilia	female
aadaliina	female
aadalmiina	female
aadam	male
aada-maria	female
aada-sofia	female
aadel	male
aadi	male
aadiel	male
aadolf	male
aadolfiina	female
aage	male
aagot	female
aake	male
aaku	male
aala	female
aale	male
aalia	female
aaliyah	female
aallotar	female
aalo	female
aalto	male
aamina	female
aamos	male
aamu	female
aamutã¤hti	female
aana	female
ãã¤nis	male
aapa	male
aape	male
aapel	male
aapeli	male
aapi	male
aapo	male
aapo-matti	male
aappi	male
aappo	male
aapraham	male
aapram	male
aaprami	male
aapro	male
aare	male
aaret	male
aaretti	male
aari	male
aaria	female
aarika	female
aarla	female
aarne	male
aarnenpoika	male
aarni	male
aarno	male
aaro	male
aaron	male
aaroni	male
aaronpoika	male
aarre	male
aarto	male
aasa	female
aatami	male
aate	male
aati	male
aato	male
aatos	male
aatto	male
aatu	male
aava	female
aba	female
abas	male
abbas	male
abbe	male
abd	male
abdalla	male
abdallah	male
abdel	male
abdelaziz	male
abdelghani	male
abdelhamid	male
abdelkader	male
abdelkarim	male
abdellah	male
abdellatif	male
abdelmajid	male
abdelrahman	male
abderrahim	male
abderrahman	male
abderrahmane	male
abdi	male
abdiasis	male
abdiaziz	male
abdifatah	male
abdihakim	male
abdihakin	male
abdihamid	male
abdikadir	male
abdikarim	male
abdikarin	male
abdillahi	male
abdimalik	male
abdinasir	male
abdinur	male
abdiqani	male
abdirahim	male
abdirahmaan	male
abdirahman	male
abdirashid	male
abdirazak	male
abdirisak	male
abdirisaq	male
abdirizak	male
abdisalam	male
abdisamad	male
abdishakur	male
abdiwahab	male
abdiwali	male
abdiweli	male
abdou	male
abdoulie	male
abdukadir	male
abdul	male
abdulaahi	male
abdulahi	male
abdulaziz	male
abdulgadir	male
abdulhamid	male
abdulkadir	male
abdulkarim	male
abdulla	male
abdullaahi	male
abdullah	male
abdullahi	male
abdulle	female
abdulqadir	male
abdulrahman	male
abdurahman	male
abdurrahman	male
abed	male
abel	male
abena	female
abid	male
abiel	male
abigail	female
abiodun	male
abner	male
abraham	male
abram	male
abshir	male
abu	male
abubakar	male
abukar	male
achieng	female
achilles	male
ada	female
ada-emilia	female
adalbert	male
adalia	female
adaliina	female
adalina	female
adalmiina	female
adalmina	female
adam	male
adama	female
ada-maria	female
adan	male
adanna	female
ada-sofia	female
adea	female
adel	male
adela	female
adelaide	female
adele	female
adã©le	female
adã¨le	female
adelã©	female
adelea	female
adelei	female
adelein	female
adeleine	female
adelheid	female
adelia	female
adelie	female
adeliina	female
adelin	female
adelina	female
adeline	female
adella	female
adelle	female
adelma	female
adelmiina	female
adem	male
aden	male
adessa	female
adette	female
adi	male
adiel	male
adil	male
adile	female
adina	female
adine	female
adjoa	female
adna	female
adnaan	male
adnan	male
adolf	male
adolfiina	female
adolfina	female
adolfo	male
adonika	female
adonis	male
adora	female
adrian	male
adriã¡n	male
adriana	female
adrianna	female
adriano	male
adrien	male
adrienne	female
afnaan	female
afrim	male
agafia	female
agape	female
agata	female
agatha	female
agathon	male
agda	female
age	male
agim	male
agne	female
agneeta	female
agneetta	female
agnes	female
ãgnes	female
agnesa	female
agneta	female
agnete	female
agnetha	female
agnetta	female
agnia	female
agnieszka	female
agon	male
agostino	male
agron	male
agustin	male
ahlam	female
ahmad	male
ahmed	male
ahmet	male
ahti	male
ahto	male
ahvo	male
ai	female
aia	female
aicha	female
aida	female
aidan	male
aiden	male
aidi	female
aihe	male
aija	female
aija-leena	female
aija-liisa	female
aija-riitta	female
aiju	female
aiko	female
aila	female
ailakki	female
aile	female
ãile	female
aileen	female
aili	female
ailiina	female
ailikki	female
ailin	female
ailo	male
ailu	male
aiman	male
aime	female
aimee	female
aimã©e	female
aimi	female
aimo	male
aimonpoika	male
aina	female
aina-maria	female
ainamo	female
aini	female
ainikki	female
aino	female
aino-elina	female
aino-elisa	female
aino-emilia	female
aino-helena	female
aino-ilona	female
aino-inkeri	female
aino-kaarina	female
ainokaisa	female
aino-kaisa	female
aino-leena	female
