name;synonyme;comment
Brighton;brighthelmston;
Brighton;brighthelmstone;
Bristol;bristo;
Bristol;bristol england;
Bristol;bristoliae;
Bristol;bristolii;
Bristol;bristoll;
Bristol;bristoll avon;
Bristol;brysto;
Bristol;mristo;
Bristol;mristol;
Bristol NY;bristol york;check
Bristol NY;Bristol NY;
Bromley;bromley kent;
Brookfield Ma;brookfield;
Brookfield Ma;brookfield mass;
Brookfield Ma;brookfield massachusetts;
Brookville Pa;brookville;
Bruges;bruges flandrorum;
Bruges;bruxells;
Brunn;bru nn;
Brunn;bru nn;
Brunn;brunn;
Brunswick Ma;brunswick;
Brussels;bruxelle;
Brussels;bruxelles;
Brussels;bruxellis;
Budapest;buda;
Budapest;pest;
Budapest;pesten;
Burlington NJ;burlington;1700-luvulla kai isompi kaupunki kuin Vermont
Burlington NJ;burlington in new jersey;
Burlington NJ;burlington new jersey;
Burlington Vt;burlington vermont;
Burlington Vt;burlington state vermont;
Burlington Vt;burlington vermont;
Burton;burton upon trent;
Bury;bury england;
Bury;bury suffolk;
Bury St Edmunds;bury st edmunds england;
Bury St Edmunds;st edmunds bury bury st edmunds england;
Caerdydd;cardiff;
Caerfyrddin;caerfryddin;
Caerfyrddin;caerfyddin;
Caerfyrddin;caer fyrddin;
Caerfyrddin;caerfyrrddin;
Caerfyrddin;caeryrddin;
Caerfyrddin;camarthen;
Caerfyrddin;carmathen;
Caerfyrddin;caerfyrddin carmarthen;
Caerfyrddin;caer ferddin;
Caerfyrddin;caerfyrddin;
Caerfyrddin;caerfyrddin carmarthen wales;
Caerfyrddin;carmarthen wales;
Caergybi;holyhead;
Caerleon;caer lleon;
Caerleon;caerlleon;
Caerleon;caer llewon;
Caerleon;caerlluon;
Caernarfon;caer grawnt;
Caernarfon;caernarfon carnarvon wales;
Caernarfon;caernarvon;
Caernarfon;carnarvon;
Calcutta;calcuta;
Calcutta;calcutta india;
Calicut;calicute;
Calumet Mi;calumet;
Calumet Mi;calumet mich;
Calumet Mi;calumet michigan;
Cambridge;cambridge b c legge vniversitie cambridge;
Cambridge;est haec oratiũcula cantabrigiae
Cambridge;praedaram cantabrigiam;
Cambridge;preclarem cantabrigiam;
Cambridge;caergrawnt;
Cambridge;cambridg;
Cambridge;cambridge cambridgeshire;
Cambridge;cambrige;
Cambridge;cambridge;
Cambridge;cambrigi;
Cambridge;camrbridge;
Cambridge;camridge;
Cambridge;cantabriae;
Cambridge;cantabridgiae;
Cambridge;cantabrigae;
Cambridge;cantabrigae;
Cambridge;cantabrige;
Cambridge;cantabrigi;
Cambridge;cantabrigia;
Cambridge Ma;Cantabrigiae nov ang;
Cambridge;cantabrigiae;
Cambridge;cantabrigiae;
Cambridge;cantabrigriae;
Cambridge;cantanbrigiae;
Cambridge;cantebrig;
Cambridge;cantebrigiae;
